tha,eng
ฟิลิปปา,Philippa
ฟิลิปป์,Philippe
ฟิโอน่า,Fiona
ฟีบี้,Phoebe
ฟุ้งฟ้า,Fungfaa
ฟ้าใส,Fasi
ภคประภา,Pakaprapa
ภรณ์พรรณ,Phonphan
ภรณ์พันธุ์,Phonphan
ภรณ์พันธ์,Phonphan
ภราดร,Paradorn
ภัทรา,Pattra
ภานุพัฒน์,Panupat
ภานุวัฒน์ –,Phanuwat
ภาวิณี,Pawinee
ภาวี หรือ,Phawee
ภาษกร,Pasakorn
ภาสุระ,Pasura
ภิญทิพย์,Phinthip
ภิรมย์,Phirom
ภุชงค์,Phuchong
ภูมินทร์,Phumin
ภูมิพัฒน์,Phumphat
ภูวนัย,Puwanai
ภูวนาท,Phuwanat
ภูเทพ,Puthep
มงคล,Mongkol
มงคล,Mongkhon
มงคลชัย,Mongkolchai
มณฑา,Montha
มณิฑิรา,Manithira
มณี,Manee
มณีภัณ,Maneepan
มณู,Manoo
มน,Mon
มนชัย,Monchai
มนตรี,Montri
มนสิชา,Monsicha
มนัส,Manas
มนู,Manu
มยุรา,Mayura
มยุรี,Mayuree
มรกต,Morakot
มลฤดี,Monrudee
มลฤดี,Molruedee
มลิญา,Maliya
มอรีน,Maureen
มอร์ริส,Morris
มอร์แกน,Morgan
มอลลี่,Molly
มะลิ,Mali
มัทธิว,Matthew
มัลคอล์ม,Malcolm
มัสรอง,Massarong
มั่น,Mun
มาณี,Manee
มาดอนน่า,Madonna
มาทิลดา,Matilda
มานพ,Manop
มานะ,Mana
มานิจ,Manit
มานิตย์,Manit
มานิตย์,Marnit
มานูเอล,Manuel
มารวย,Maruai
มาริสสา,Marissa
มาริอุส,Marius
มาริโอ,Mario
มารี,Marie
มารี,Mary
มาร์กาเร็ต,Margaret
มาร์ค,Mark
มาร์ค,Marc
มาร์คัส,Marcus
มาร์จ,Marge
มาร์ช่า,Marsha
มาร์ตินุส,Martinus
มาร์ทิน,Martin
มาร์ธา,Martha
มาร์ลอน,Marlon
มาร์ลีย์ ,Marley
มาร์วิน,Marvin
มาร์โค,Marco
มาลา,Mala
มาลี,Malee
มาเรีย,Maria
มาโนช,Manoch
มิค,Mick
มิคกิ,Mikki
มิคกี้,Mickey
มิคกี้,Micky
มิทเชลล์,Mitchell
มิลลี่,Millie
มิเกล,Miguel
มิเชล,Michelle
มิเชลล์,Michelle
มิแรนด้า,Miranda
มีอา,Mia
มีแกน,Meagan
มุกดา,Mukda
มุกดี,Mukdee
มูน,Moon
มูฮมัดตังมีรีย์,Muhamudtungmiri
มโน,Mano
ม้า,Ma
ยงยศ,Yongyos
ยงยุทธ์,Yongyuth
ยวน,Ewan
ยวน,Euan
ยอดนารี,Yordnaree
ยอร์น,Jørn
ยาโคบ,Jacob
ยินดี,Yindee
ยิ่งยศ,Yingyot
ยีน,Gene
ยุคลธร,Yukolthorn
ยุทธนัน,Yuthanan
ยุทธนา,Yuthana
ยุทธนา,Yutthana
ยุทธ์,Yut
ยุพดี,Yupadee
ยุพา,Yupa
ยุพิน,Yupin
ยุภิล,Yupil
ยุวรัตน์,Yuwarat
ยูจีน,Eugene
ยูดาส,Judas
ยูลิสซิส,Ulysses
ยูโสบ,Yusob
รณชัย,Ronnachai
รณรงค์,Ronnarung
รสรินทร์,Sosarin
รอง,Rong
รอน,Ron
รอนนี,Ronnie
รอม,Rom
รอมิลลี่,Romillie
รอย,Roy
รอรี่,Rory
รอส,Ross
รอเชต,Rochet
ระพี,Rapee
ระวิวรรณ,Rawiwan
ระวีวรรณ,Raweewan
ระเบียบ,Rabiub
รังรอง,Rangrong
รัชฎา,Ratchada
รัชนี,Ratchanee
รัชนีกร,Ratchneekorn
รัชนีวรรณ,Ratchaneewan
รัฐวุฒิ,Ratthawut
รัตนวดี,Rattanawadee
รัตนา,Ratana
รัตนา,Rattana
รัตน์,Rut
รัทเทอร์ฟอร์ด,Rutherford
รัศมี,Rassamee
รัสเซล,Russell
ราชัญ,Rachun
ราชันย์,Rachan
ราม,Ram
